user_id,total_votes,unique_days,first_vote,last_vote,active_days,cohort_day,retention_day8,ret_group,ret_group_over,ret_group_under,gender,group_id,school_id,grade,total_votes_received,opposite_votes_received,opposite_vote_ratio,same_gender_votes_received
838023,22,5,2023-04-29,2023-05-04,5,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,233.0,271.0,1.0,262,33,0.12595419847328243,229
838466,129,7,2023-05-02,2023-06-02,31,2023-05-02,0.5694444444444444,50 이상,50 이상,,F,321.0,369.0,2.0,342,46,0.13450292397660818,296
838642,10,2,2023-04-28,2023-04-29,1,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0,40,4,0.1,36
839357,212,9,2023-04-29,2023-05-26,27,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,519.0,271.0,1.0,173,138,0.7976878612716763,35
840293,170,7,2023-05-03,2023-05-15,12,2023-05-03,0.42297650130548303,50 미만,,50 미만,F,838.0,369.0,1.0,241,50,0.2074688796680498,191
840473,244,21,2023-05-03,2023-06-16,44,2023-05-03,0.42297650130548303,50 미만,,50 미만,M,915.0,369.0,1.0,195,104,0.5333333333333333,91
840474,41,5,2023-05-03,2023-05-08,5,2023-05-03,0.42297650130548303,50 미만,,50 미만,F,916.0,369.0,1.0,109,6,0.05504587155963303,103
840512,141,8,2023-05-02,2023-07-11,70,2023-05-02,0.5694444444444444,50 이상,50 이상,,M,930.0,369.0,1.0,309,125,0.4045307443365696,184
840685,567,21,2023-05-02,2023-06-06,35,2023-05-02,0.5694444444444444,50 이상,50 이상,,F,838.0,369.0,1.0,256,102,0.3984375,154
840902,250,14,2023-05-02,2023-05-27,25,2023-05-02,0.5694444444444444,50 이상,50 이상,,F,1058.0,369.0,2.0,201,57,0.2835820895522388,144
841333,338,11,2023-05-03,2023-05-16,13,2023-05-03,0.42297650130548303,50 미만,,50 미만,M,1212.0,369.0,3.0,441,113,0.2562358276643991,328
841576,246,13,2023-05-09,2023-06-05,27,2023-05-09,0.7316017316017316,50 이상,50 이상,,F,1293.0,5491.0,2.0,293,112,0.3822525597269625,181
841809,553,17,2023-05-03,2023-05-28,25,2023-05-03,0.42297650130548303,50 미만,,50 미만,F,1379.0,369.0,1.0,567,179,0.31569664902998235,388
844453,168,15,2023-05-05,2023-06-03,29,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,2414.0,352.0,1.0,131,7,0.05343511450381679,124
844462,246,15,2023-05-05,2023-06-14,40,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,2417.0,352.0,2.0,102,16,0.1568627450980392,86
844630,217,5,2023-05-05,2023-06-03,29,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,2466.0,352.0,3.0,466,270,0.5793991416309013,196
845238,166,23,2023-04-29,2023-06-06,38,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,233.0,271.0,1.0,239,17,0.07112970711297072,222
