user_id,total_votes,unique_days,first_vote,last_vote,active_days,cohort_day,retention_day8,ret_group,ret_group_over,ret_group_under,gender,group_id,school_id,grade,total_votes_received,opposite_votes_received,opposite_vote_ratio,same_gender_votes_received
838023,22,5,2023-04-29,2023-05-04,5,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,233.0,271.0,1.0,262,33,0.12595419847328243,229
838466,127,6,2023-05-02,2023-05-07,5,2023-05-02,0.5694444444444444,50 이상,50 이상,,F,321.0,369.0,2.0,343,46,0.13411078717201166,297
838642,1,1,2023-04-29,2023-04-29,0,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,356.0,271.0,2.0,40,4,0.1,36
839357,205,8,2023-04-29,2023-05-07,8,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,519.0,271.0,1.0,173,138,0.7976878612716763,35
840293,170,7,2023-05-03,2023-05-15,12,2023-05-03,0.42297650130548303,50 미만,,50 미만,F,838.0,369.0,1.0,241,50,0.2074688796680498,191
840473,165,12,2023-05-03,2023-05-21,18,2023-05-03,0.42297650130548303,50 미만,,50 미만,M,915.0,369.0,1.0,197,106,0.5380710659898477,91
840474,41,5,2023-05-03,2023-05-08,5,2023-05-03,0.42297650130548303,50 미만,,50 미만,F,916.0,369.0,1.0,109,6,0.05504587155963303,103
840512,131,7,2023-05-02,2023-05-16,14,2023-05-02,0.5694444444444444,50 이상,50 이상,,M,930.0,369.0,1.0,309,125,0.4045307443365696,184
840685,547,16,2023-05-02,2023-05-23,21,2023-05-02,0.5694444444444444,50 이상,50 이상,,F,838.0,369.0,1.0,257,103,0.40077821011673154,154
840902,245,13,2023-05-02,2023-05-17,15,2023-05-02,0.5694444444444444,50 이상,50 이상,,F,1058.0,369.0,2.0,201,58,0.2885572139303483,143
841333,338,11,2023-05-03,2023-05-16,13,2023-05-03,0.42297650130548303,50 미만,,50 미만,M,1212.0,369.0,3.0,441,113,0.2562358276643991,328
841576,227,11,2023-05-09,2023-05-21,12,2023-05-09,0.7316017316017316,50 이상,50 이상,,F,1293.0,5491.0,2.0,293,114,0.3890784982935154,179
841809,543,16,2023-05-03,2023-05-20,17,2023-05-03,0.42297650130548303,50 미만,,50 미만,F,1379.0,369.0,1.0,571,179,0.3134851138353765,392
844453,156,10,2023-05-05,2023-05-25,20,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,2414.0,352.0,1.0,131,7,0.05343511450381679,124
844462,235,13,2023-05-05,2023-05-22,17,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,2417.0,352.0,2.0,102,16,0.1568627450980392,86
844630,210,4,2023-05-05,2023-05-08,3,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,2466.0,352.0,3.0,467,270,0.5781584582441114,197
845238,96,15,2023-04-29,2023-05-17,18,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,233.0,271.0,1.0,239,17,0.07112970711297072,222
845269,225,17,2023-05-05,2023-05-25,20,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,2697.0,352.0,1.0,173,80,0.4624277456647399,93
845326,88,7,2023-05-04,2023-05-17,13,2023-05-04,0.33532934131736525,50 미만,,50 미만,F,2765.0,369.0,3.0,45,4,0.08888888888888889,41
847375,313,12,2023-04-29,2023-05-23,24,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,356.0,271.0,2.0,834,316,0.37889688249400477,518
849103,1541,27,2023-04-29,2023-05-25,26,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3833.0,271.0,1.0,200,59,0.295,141
849436,535,10,2023-04-29,2023-05-16,17,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,356.0,271.0,2.0,398,68,0.1708542713567839,330
849438,278,13,2023-04-29,2023-05-18,19,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,356.0,271.0,2.0,405,171,0.4222222222222222,234
849439,178,2,2023-04-29,2023-04-30,1,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,356.0,271.0,2.0,588,276,0.46938775510204084,312
849441,94,5,2023-04-29,2023-05-04,5,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,356.0,271.0,2.0,369,157,0.4254742547425474,212
849442,38,4,2023-04-29,2023-05-12,13,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,356.0,271.0,2.0,436,130,0.2981651376146789,306
849443,71,3,2023-04-29,2023-05-02,3,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,356.0,271.0,2.0,117,18,0.15384615384615385,99
849444,97,4,2023-04-29,2023-05-03,4,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,356.0,271.0,2.0,298,80,0.2684563758389262,218
849445,210,10,2023-04-29,2023-05-11,12,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,356.0,271.0,2.0,301,96,0.31893687707641194,205
849446,384,14,2023-04-29,2023-05-19,20,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,356.0,271.0,2.0,507,161,0.3175542406311637,346
849450,392,10,2023-04-29,2023-05-25,26,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,356.0,271.0,2.0,537,248,0.4618249534450652,289
849451,545,11,2023-04-29,2023-05-22,23,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,356.0,271.0,2.0,202,94,0.46534653465346537,108
849452,214,6,2023-04-29,2023-05-06,7,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,356.0,271.0,2.0,668,172,0.25748502994011974,496
849453,14,2,2023-04-29,2023-04-30,1,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3939.0,271.0,2.0,528,177,0.3352272727272727,351
