user_id,gender,total_votes_received,opposite_votes_received,opposite_vote_ratio
838023,F,262,33,0.12595419847328243
838466,F,342,46,0.13450292397660818
838642,F,40,4,0.1
839357,M,173,138,0.7976878612716763
840293,F,241,50,0.2074688796680498
840473,M,195,104,0.5333333333333333
840474,F,109,6,0.05504587155963303
840512,M,309,125,0.4045307443365696
840685,F,256,102,0.3984375
840902,F,201,57,0.2835820895522388
841333,M,441,113,0.2562358276643991
841576,F,293,112,0.3822525597269625
841809,F,567,179,0.31569664902998235
844453,F,131,7,0.05343511450381679
844462,F,102,16,0.1568627450980392
844630,F,466,270,0.5793991416309013
845238,F,239,17,0.07112970711297072
845269,F,173,80,0.4624277456647399
845326,F,45,4,0.08888888888888889
847375,F,832,315,0.3786057692307692
849103,F,200,59,0.295
849436,F,397,67,0.16876574307304787
849438,F,402,169,0.42039800995024873
849439,M,587,276,0.47018739352640543
849441,F,369,156,0.42276422764227645
849442,F,435,129,0.296551724137931
849443,F,117,18,0.15384615384615385
849444,M,298,80,0.2684563758389262
849445,M,301,96,0.31893687707641194
849446,F,505,159,0.31485148514851485
849450,F,536,248,0.4626865671641791
849451,M,201,93,0.4626865671641791
849452,M,668,172,0.25748502994011974
849453,F,527,176,0.33396584440227706
849454,F,447,137,0.30648769574944074
849455,F,205,17,0.08292682926829269
849460,F,156,20,0.1282051282051282
849464,M,144,18,0.125
849466,M,84,20,0.23809523809523808
849469,F,245,126,0.5142857142857142
849471,M,400,110,0.275
849475,M,472,193,0.4088983050847458
849477,M,290,118,0.4068965517241379
849479,F,215,46,0.21395348837209302
849486,F,44,9,0.20454545454545456
849487,F,313,114,0.36421725239616615
849488,M,612,205,0.3349673202614379
849489,F,315,114,0.3619047619047619
849490,F,247,80,0.32388663967611336
849491,F,365,117,0.32054794520547947
849493,M,321,101,0.3146417445482866
849497,F,240,32,0.13333333333333333
849498,F,188,68,0.3617021276595745
849502,M,170,25,0.14705882352941177
849503,F,239,89,0.3723849372384937
849504,F,383,86,0.2245430809399478
849512,M,326,59,0.18098159509202455
849515,M,228,47,0.20614035087719298
849526,F,226,130,0.5752212389380531
849528,F,228,62,0.2719298245614035
849535,M,159,92,0.5786163522012578
849541,F,191,50,0.2617801047120419
849543,M,357,121,0.3389355742296919
849548,F,370,101,0.27297297297297296
849549,M,299,89,0.2976588628762542
849558,F,297,26,0.08754208754208755
849559,F,345,43,0.1246376811594203
849566,F,135,31,0.22962962962962963
849582,M,182,48,0.26373626373626374
849620,F,146,14,0.0958904109589041
849623,M,237,58,0.24472573839662448
849634,M,249,92,0.36947791164658633
849670,F,280,65,0.23214285714285715
849682,F,142,13,0.09154929577464789
849692,M,216,43,0.19907407407407407
849762,M,328,83,0.2530487804878049
849864,M,197,96,0.4873096446700508
849922,M,512,184,0.359375
